Category,Count of CIViC Evidence Items per Category,Percent of all CIViC Evidence Items
Sequence,300,300 / 10850  (2.76%)
Genotype/Haplotype,39,39 / 10850  (0.36%)
Fusion,1590,1590 / 10850  (14.65%)
Rearrangement,593,593 / 10850  (5.47%)
Epigenetic Modification,23,23 / 10850  (0.21%)
Copy Number,52,52 / 10850  (0.48%)
Expression,623,623 / 10850  (5.74%)
Gene Function,386,386 / 10850  (3.56%)
Region-Defined,782,782 / 10850  (7.21%)
Genome Feature,25,25 / 10850  (0.23%)
Other,126,126 / 10850  (1.16%)
